Codigo,Descricao
2,RECIFE
4,RIO DE JANEIRO
5,ARAPIRACA
6,CAPELA
7,BARRA DE SÃO MIGUEL
8,BARRA DE SANTO ANTÔNIO
9,FORTALEZA
10,BRASÍLIA
11,JOÃO PESSOA
12,RIO LARGO
13,OLINDA
14,PORTO REAL DO COLÉGIO
15,SÃO BRÁS
16,PALMEIRA DOS ÍNDIOS
17,MESSIAS
18,UNIÃO DOS PALMARES
21,MACEIÓ
22,JEQUIÁ DA PRAIA
23,ARACAJU
24,CAJUEIRO
25,VIÇOSA
26,BATALHA
28,SANTANA DO IPANEMA
29,MURICI
30,S. MIGUEL DOS MILAGRES
31,SÃO MIGUEL DOS CAMPOS
32,OLHO D ÁGUA DAS FLORES
33,ATALAÍA
34,BOCA DA MATA
35,IGREJA NOVA
36,JUNQUEIRO
37,MARECHAL DEODORO
38,MATRIZ DE CAMARAGIBE
39,MATA GRANDE
40,TRAIPÚ
41,SANTA LUZIA
42,PILAR
43,PARIPUEIRA
44,MARAVILHA
45,SÃO JOSE DA LAJE
46,IGREJA NOVA
